P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data     6/09/2019  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,cps,MSE,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Zr,Sb,Ba,La,Ce,Pr,Nd,Sm,Yb,Hf,Ta,Pb,Bi,Mo inc,Mo coh,Dt
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000015.spe,86.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,396398,1.54,143,348,103,283,6415,875,3356,3612,3739,268,287,5985,154243,1305,892,807,118,420,1040,1302,16002,2414,3188,1980,15,60,0,0,0,0,167,0,0,0,1076,1052,265408,51822,0.518
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000016.spe,87.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,391039,1.6,145,324,115,203,5820,905,3841,3091,4021,324,263,7529,159496,1457,481,1037,432,506,1021,1009,15825,2244,2505,2311,20,95,13,0,0,39,150,0,66,561,1037,869,261119,50299,0.514
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000017.spe,88.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,368830,1.54,155,310,131,209,5305,994,3590,3042,4069,285,222,5393,136385,1508,635,885,449,303,907,1009,15296,2438,2728,1618,0,18,0,5,37,19,102,0,0,434,951,811,259118,50655,0.502
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000018.spe,89.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,362742,1.6,161,302,99,212,5196,1113,3346,2917,4154,260,205,6441,148274,1250,619,914,385,367,1303,1077,15161,2150,2469,2008,0,0,0,12,12,0,114,0,0,401,1053,775,253944,49590,0.496
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000019.spe,90.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,393789,2.11,226,331,105,263,5031,1082,2902,3139,3221,287,229,9371,244894,1166,619,717,530,398,2395,1345,14574,1984,2777,1837,114,69,30,0,26,5,212,5,0,457,801,905,245946,48194,0.504
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000020.spe,91.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,367116,1.64,171,414,103,234,5468,1009,2947,4395,3416,215,141,5454,165863,1152,571,738,506,494,1359,1206,15272,1867,3859,1491,21,0,0,0,54,0,97,0,0,550,1003,764,251845,50369,0.495
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000021.spe,92.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,362109,1.84,166,306,62,300,5514,1008,3025,2948,3436,145,163,5908,174104,1215,702,774,101,435,1023,942,14695,2157,3061,2331,0,128,0,0,26,0,76,0,0,310,786,885,248422,48662,0.49
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000022.spe,93.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,366771,1.65,181,260,72,234,6199,949,2867,2966,3338,196,191,6726,178598,1349,569,961,272,615,1221,1040,14792,1974,2449,1847,0,121,0,0,9,0,109,0,0,400,981,694,246675,49860,0.493
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000023.spe,94.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,384609,1.87,193,319,79,271,5709,889,3257,3144,3650,211,108,8249,239698,1085,359,915,458,476,1993,1065,14601,2583,2825,1695,0,5,0,0,5,0,131,0,0,443,1102,637,239901,48757,0.499
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000024.spe,95.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,399271,1.72,241,424,120,390,5537,798,3325,3577,3560,315,177,7654,274929,1060,459,1010,256,373,2868,796,14052,1938,4095,1800,0,0,0,0,0,0,116,0,0,109,937,670,235774,47910,0.505
